City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
299,birjand,0,IR,1525143600,48,32.86,59.22,64.4,11.41
300,dalbandin,0,PK,1525146228,40,28.9,64.41,72.45,4.38
301,angoche,44,MZ,1525145699,100,-16.23,39.91,79.47,14.23
302,bilibino,68,RU,1525145730,70,68.06,166.44,31.59,3.15
303,kushima,75,JP,1525143600,83,31.5,131.29,73.4,6.93
304,marzuq,48,YE,1525146229,91,14.4,46.47,60.66,2.15
305,miranda,75,CO,1525143600,83,3.25,-76.23,73.4,11.41
306,saint-pierre,75,FR,1525143600,100,48.95,4.24,42.8,11.41
307,costinesti,0,RO,1525143600,93,43.95,28.63,48.2,5.82
308,sibu,75,MY,1525140000,74,2.29,111.83,87.8,3.36
309,buala,48,SB,1525146230,100,-8.15,159.59,82.62,1.14
310,general pico,92,AR,1525146230,92,-35.66,-63.75,55.35,10.54
311,shakawe,44,BW,1525145785,45,-18.36,21.84,63.72,5.39
312,santa isabel,44,CO,1525146231,95,4.71,-75.1,61.92,1.59
313,namibe,0,AO,1525145706,100,-15.19,12.15,77.31,3.49
314,kristinehamn,92,SE,1525143000,93,59.31,14.11,41.0,13.87
315,husavik,92,CA,1525146008,77,50.56,-96.99,39.6,18.25
316,kunashak,20,RU,1525143600,69,55.7,61.55,39.2,4.47
317,alugan,92,PH,1525145735,91,12.22,125.48,83.79,10.76
318,zapresic,12,HR,1525143600,81,45.86,15.81,55.4,1.12
319,chahal,80,GT,1525146233,80,15.75,-89.57,77.85,3.49
320,marinette,1,US,1525143360,46,45.1,-87.63,53.6,6.93
321,baruun-urt,8,MN,1525146234,51,46.68,113.28,49.68,4.61
322,qaqortoq,68,GL,1525143000,79,60.72,-46.03,28.4,5.61
323,walvis bay,0,NA,1525143600,82,-22.95,14.51,55.4,1.92
324,nyrob,68,RU,1525146235,86,60.74,56.73,33.57,6.06
325,manicore,24,BR,1525145976,96,-5.81,-61.3,74.61,2.04
326,lata,0,IN,1525145763,60,30.78,78.62,56.88,1.92
327,touros,80,BR,1525146235,96,-5.2,-35.46,77.22,10.2
328,le pradet,0,FR,1525143600,100,46.44,1.83,37.4,2.24
329,robertsport,80,LR,1525146236,100,6.75,-11.37,80.1,6.17
330,ponta do sol,20,BR,1525145647,72,-20.63,-46.0,61.2,2.48
331,severo-yeniseyskiy,80,RU,1525146237,90,60.37,93.04,47.97,6.17
332,popondetta,48,PG,1525145761,96,-8.77,148.24,74.25,2.15
333,los llanos de aridane,0,ES,1525143600,63,28.66,-17.92,60.8,10.29
334,ilhabela,0,BR,1525145770,92,-23.78,-45.36,78.12,7.18
335,hohhot,40,CN,1525143600,30,40.81,111.65,59.0,13.42
336,nichinan,75,JP,1525143600,83,31.65,131.31,73.4,6.93
337,goba,44,ET,1525146238,88,7.01,39.97,50.04,2.71
338,hanna,8,CA,1525146239,52,51.64,-111.93,49.59,3.15
339,garissa,44,KE,1525146239,82,-0.46,39.64,76.32,9.19
340,umarkot,0,PK,1525146029,45,25.37,69.74,89.1,15.01
341,thunder bay,75,CA,1525143600,70,48.41,-89.26,44.6,5.82
342,bissau,0,GW,1525146240,74,11.86,-15.58,74.52,9.42
343,gorontalo,36,ID,1525146240,83,0.54,123.06,82.62,2.93
344,siauliai,0,LT,1525143000,100,55.93,23.32,55.4,8.05
345,shache,0,CN,1525146241,33,38.42,77.24,63.36,4.5
346,sao benedito do rio preto,44,BR,1525146242,98,-3.33,-43.53,72.9,2.71
347,broome,92,GB,1525143360,86,52.47,1.45,39.2,13.87
348,broken hill,68,AU,1525146242,42,-31.97,141.45,71.46,9.64
349,taicheng,68,CN,1525146242,74,22.25,112.8,84.87,5.06
350,ternate,75,PH,1525143600,59,14.29,120.72,89.6,6.93
351,bathsheba,40,BB,1525143600,78,13.22,-59.52,78.8,23.04
352,sisimiut,76,GL,1525145958,100,66.94,-53.67,16.65,1.7
353,bahar,40,IR,1525143600,100,34.91,48.44,46.4,3.49
354,toowoomba,0,AU,1525143600,38,-27.56,151.95,75.2,16.11
355,gastello,36,RU,1525146244,85,49.1,142.94,46.62,3.38
356,dakar,0,SN,1525143600,93,14.69,-17.45,66.2,9.17
357,suwannaphum,75,TH,1525143600,66,15.61,103.81,87.8,5.82
358,riyadh,0,SA,1525143600,37,24.63,46.72,71.6,3.36
359,majene,0,ID,1525146245,96,-3.54,118.97,84.33,12.77
360,port-cartier,75,CA,1525143600,91,50.03,-66.88,37.4,6.93
361,banda aceh,36,ID,1525145967,78,5.56,95.32,84.51,1.92
362,lethem,56,GY,1525146246,93,3.38,-59.8,74.43,6.06
363,meulaboh,12,ID,1525145912,100,4.14,96.13,82.89,2.15
364,chuy,24,UY,1525145669,88,-33.69,-53.46,60.03,13.44
365,birao,0,CF,1525145786,34,10.3,22.78,70.02,6.73
366,tikhvin,36,RU,1525146247,83,59.64,33.53,43.38,6.17
367,nizwa,24,OM,1525146248,32,22.93,57.53,76.86,3.04
368,vuktyl,80,RU,1525146248,82,63.86,57.31,29.25,8.08
369,tavricheskoye,75,RU,1525143600,74,54.59,73.64,33.8,13.42
370,beringovskiy,8,RU,1525145704,93,63.05,179.32,34.02,5.06
371,krasnyy chikoy,44,RU,1525146249,50,50.36,108.75,44.82,3.04
372,aykhal,20,RU,1525146249,75,65.95,111.51,42.75,12.21
373,kamaishi,0,JP,1525143600,41,39.28,141.86,75.2,11.41
374,oranjemund,12,ZA,1525145862,96,-28.55,16.43,61.2,1.36
375,erenhot,0,CN,1525146269,49,43.65,111.97,53.01,6.96
376,codrington,76,AU,1525145724,80,-28.95,153.24,67.68,6.62
377,rabo de peixe,20,PT,1525143600,82,37.8,-25.58,59.0,6.93
378,pathein,0,MM,1525145937,80,16.78,94.73,87.3,4.5
379,mayo,75,CA,1525143600,34,63.59,-135.9,51.8,3.36
380,kushiro,75,JP,1525143600,62,43.11,144.15,57.2,6.93
381,cumana,24,VE,1525146252,80,10.46,-64.17,72.54,2.93
382,inuvik,75,CA,1525143600,56,68.36,-133.71,44.6,8.05
